id,title,price,img,category,subcategory,handedness,colors,custom_color_fee,pickup_configs,description
tele-ash-1,Telecaster Ash Body,179.99,images/telecaster1.jpg,telecaster,classic,both,Black|White|Sunburst|Natural,25,,,Premium ash body with classic Telecaster routing
strat-walnut-1,Stratocaster Walnut Body,210.99,images/stratocaster1.jpg,stratocaster,standard-sss,both,Black|White|Sunburst,25,SSS,Beautiful walnut body with SSS routing
jazz-alder-1,Jazzmaster Alder Body,199.99,images/jazzmaster1.jpg,jazzmaster,classic,both,Black|White|Sunburst,25,,Classic Jazzmaster body in alder
strat-hss-1,Stratocaster HSS Body,215.99,images/Stratocaster_white_blank.png,stratocaster,standard-hss,both,Black|White|Red|Sunburst,30,HSS,Versatile HSS pickup configuration
strat-sss-1,Stratocaster SSS Body,205.99,images/Stratocaster_white_hexagon.png,stratocaster,standard-sss,right,Black|White|Sunburst,25,SSS,Classic SSS pickup layout
tele-modern-1,Modern Telecaster Body,189.99,images/Telecaster_white_blank.png,telecaster,modern,both,Black|White|Blue|Red,30,,Modern Telecaster with updated features
strat-hollow-1,Hollow Stratocaster Body,245.99,images/Stratocaster_white_hollow.png,stratocaster,hollow,left,Black|Natural,35,,Lightweight hollow body design
jazz-offset-1,Jazzmaster Offset Body,219.99,images/jazzmaster1.jpg,jazzmaster,offset,both,Black|White|Sunburst,25,,Unique offset body shape
